Gene type	Gene name
protein_coding	CACNA2D4
protein_coding	CTIF
protein_coding	ISLR
protein_coding	IBTK
protein_coding	STRA6
protein_coding	LRTM2
protein_coding	TPBG
lncRNA	LINC00940
protein_coding	DCP1B
lncRNA	CACNA1C-IT1
lncRNA	CACNA1C-AS4
lncRNA	CACNA1C-IT3
lncRNA	CACNA1C-AS3
protein_coding	CYP11A1
lncRNA	CACNA1C-AS2
protein_coding	CACNA1C
lncRNA	LINC02255
protein_coding	SEMA7A
protein_coding	KPNA7
lncRNA	UBL7-DT
lncRNA	LINC02783
protein_coding	PADI1
protein_coding	PADI3
protein_coding	PADI4
protein_coding	PADI6
lncRNA	RCC2-AS1
protein_coding	RCC2
lncRNA	CENATAC-DT
protein_coding	CENATAC
protein_coding	RPS25
protein_coding	TRAPPC4
protein_coding	HYOU1
protein_coding	SLC16A1
protein_coding	VPS11
lncRNA	LINC02985
protein_coding	SLC37A4
lncRNA	LINC00411
protein_coding	XYLT1
protein_coding	SLC25A26
processed_pseudogene	ST13P5
protein_coding	SAA1
protein_coding	PCP4
protein_coding	DSCAM
lncRNA	DSCAM-AS1
lncRNA	DSCAM-IT1
protein_coding	HPS5
protein_coding	GTF2H1
lncRNA	MCPH1-DT
protein_coding	PLCL2
protein_coding	LDHA
unprocessed_pseudogene	UBTFL6
protein_coding	COX5B
protein_coding	ACTR1B
protein_coding	ZAP70
protein_coding	DDX51
protein_coding	NOC4L
protein_coding	CTTN
lncRNA	LINC02361
IG_V_gene	IGKV5-2
IG_V_gene	IGKV1-5
IG_V_gene	IGKV3-11
protein_coding	GALNT9
IG_V_gene	IGKV1-12
IG_V_gene	IGKV3-15
IG_V_gene	IGKV1-16
IG_V_gene	IGKV1-17
IG_V_gene	IGKV3-20
IG_V_gene	IGKV2-28
IG_V_gene	IGKV2-30
IG_V_gene	IGKV1-33
IG_V_gene	IGKV1-39
protein_coding	PPFIA1
protein_coding	RTP1
protein_coding	RTP4
lncRNA	LINC02041
protein_coding	MASP1
protein_coding	COG5
protein_coding	PCDHA1
protein_coding	PCDHA2
protein_coding	PCDHA3
protein_coding	PCDHA4
protein_coding	PCDHA5
protein_coding	PCDHA6
protein_coding	PCDHA7
protein_coding	PCDHA8
protein_coding	PCDHA9
protein_coding	PCDHA10
protein_coding	PCDHA11
protein_coding	PCDHA12
protein_coding	PCDHA13
protein_coding	PCDHAC2
protein_coding	PCDHB1
protein_coding	PCDHAC1
lncRNA	PCDHB1-AS1
protein_coding	PCDHB2
protein_coding	DUS4L
protein_coding	PCDHB4
protein_coding	PCDHB5
protein_coding	PCDHB6
protein_coding	PCDHB7
protein_coding	PCDHB8
protein_coding	PCDHB16
protein_coding	PCDHB9
protein_coding	PCDHB10
protein_coding	PCDHB11
protein_coding	PCDHB12
protein_coding	PCDHB13
protein_coding	PCDHB14
protein_coding	BCAP29
lncRNA	PCDHB18P
transcribed_unprocessed_pseudogene	PCDHB18P
protein_coding	PCDHB15
protein_coding	PCDHB3
protein_coding	GJA10
protein_coding	CASP8AP2
lncRNA	SLC14A2-AS1
protein_coding	PTEN
protein_coding	VPS53
protein_coding	RFLNB
protein_coding	RNF135
lncRNA	MIR4733HG
protein_coding	OMG
protein_coding	EVI2B
protein_coding	OR4M2
protein_coding	OR4N4
protein_coding	NIPA1
protein_coding	CYFIP1
protein_coding	SLC5A11
protein_coding	GOLGA8DP
protein_coding	MAGEL2
protein_coding	NDN
protein_coding	OR4M2B
protein_coding	ARHGAP17
protein_coding	KAT6B
protein_coding	RNF139
protein_coding	TATDN1
protein_coding	HSF1
protein_coding	DGAT1
protein_coding	MBD3L1
protein_coding	MUC16
protein_coding	SCRT1
protein_coding	FBXL6
protein_coding	CPSF1
protein_coding	MED10
protein_coding	UBE2QL1
protein_coding	MEF2D
protein_coding	IQGAP3
protein_coding	DUSP29
protein_coding	HAPLN2
miRNA	MIR939
protein_coding	SLC39A4
protein_coding	VPS28
protein_coding	COL3A1
protein_coding	SLC52A2
protein_coding	LTN1
protein_coding	USP16
protein_coding	CCT8
protein_coding	OR4K2
protein_coding	OR4K5
protein_coding	OR4K1
protein_coding	OR4K15
protein_coding	OR4K14
protein_coding	OR4K13
protein_coding	OR4L1
protein_coding	OR4K17
protein_coding	OR4N5
protein_coding	OR11G2
protein_coding	OR11H6
protein_coding	OR11H4
protein_coding	TTC5
protein_coding	CCNB1IP1
ribozyme	RPPH1
protein_coding	PARP2
protein_coding	TEP1
protein_coding	OSGEP
protein_coding	APEX1
protein_coding	PIP4P1
protein_coding	PNP
protein_coding	RNASE10
protein_coding	OR4K3
protein_coding	OR4Q2
protein_coding	OR11H7
protein_coding	SEL1L2
lncRNA	COL18A1-AS1
protein_coding	COL18A1
lncRNA	ZNF496-DT
protein_coding	APOB
lncRNA	C1QTNF9-AS1
miRNA	MIR766
lncRNA	MTUS2-AS1
lncRNA	MTUS2-AS2
lncRNA	FREM2-AS1
lncRNA	SPATA13-AS1
lncRNA	LINC00374
lncRNA	LINC00547
protein_coding	OR8J2
protein_coding	OR5T2
protein_coding	OR5T3
protein_coding	OR5T1
protein_coding	OR8H1
protein_coding	OR8K3
protein_coding	OR8K1
protein_coding	OR8J1
protein_coding	OR8U1
protein_coding	OR8U3
protein_coding	OR5M9
protein_coding	OR5M3
protein_coding	OR5AL1
protein_coding	OR5M8
protein_coding	CD300A
protein_coding	CD300LB
protein_coding	CD300C
protein_coding	CD300LD
protein_coding	POU4F1
protein_coding	CD300H
lncRNA	SCEL-AS1
protein_coding	IFNL3
protein_coding	IFNL2
protein_coding	IFNL1
lncRNA	LINC00383
protein_coding	LRFN1
protein_coding	GMFG
protein_coding	IFNL4
protein_coding	SOX1
lncRNA	LINC01043
protein_coding	NALF1
protein_coding	FCER1A
protein_coding	OR10J1
protein_coding	OR10J3
protein_coding	OR10J4
miRNA	MIR16-1
miRNA	MIR15A
lncRNA	SPATA13
protein_coding	CSNK1A1L
protein_coding	PNLIPRP1
lncRNA	HSPA12A-AS1
protein_coding	PNLIPRP2
protein_coding	SLITRK1
lncRNA	COL4A2-AS2
lncRNA	COL4A2-AS1
protein_coding	KBTBD6
protein_coding	KBTBD7
lncRNA	ANKRD10-IT1
lncRNA	ARHGEF7-IT1
protein_coding	KCTD12
lncRNA	ATP11AUN
protein_coding	SLC10A2
protein_coding	HNRNPA1L2
protein_coding	GSX1
protein_coding	OR52J3
lncRNA	PLUT
protein_coding	OR52E2
transcribed_unprocessed_pseudogene	OR52A4P
protein_coding	OR52E1
lncRNA	ZDHHC20-IT1
lncRNA	LINC00400
lncRNA	N4BP2L2-IT2
protein_coding	INPP5D
lncRNA	LINC02339
lncRNA	LINC01074
lncRNA	LINC00459
lncRNA	LINC01055
lncRNA	DOCK9-DT
protein_coding	ATP4B
protein_coding	ATG16L1
protein_coding	GBA3
lncRNA	STARD13-IT1
lncRNA	LINC00388
lncRNA	LINC00387
lncRNA	FGF14-IT1
protein_coding	KCTD4
protein_coding	AMER2
miRNA	MIR320D1
protein_coding	ACOD1
protein_coding	GPC6
lncRNA	SOX21-AS1
protein_coding	SOX21
lncRNA	GPC5-IT1
lncRNA	LINC01689
protein_coding	SQSTM1
protein_coding	KRTAP25-1
protein_coding	RUFY1
protein_coding	SAG
protein_coding	CLDN17
processed_pseudogene	ATP5F1EP2
protein_coding	URAD
protein_coding	KRTAP24-1
lncRNA	MYO16-AS2
lncRNA	MYO16-AS1
lncRNA	LINC00307
lncRNA	LINC00373
protein_coding	CLDN8
lncRNA	LINC02943
lncRNA	HUNK-AS1
lncRNA	LINC00402
lncRNA	LINC01700
lncRNA	GAS6-AS1
protein_coding	CANX
lncRNA	LINC00452
lncRNA	ARHGEF7-AS1
protein_coding	EIF3K
lncRNA	LINC00397
lncRNA	UMODL1-AS1
lncRNA	LINC00442
protein_coding	ACTN4
lncRNA	HLCS-IT1
lncRNA	VWA8-AS1
lncRNA	FRY-AS1
lncRNA	COL18A1-AS1
protein_coding	MAML1
protein_coding	LTC4S
lncRNA	DSCAM-IT1
protein_coding	MGAT4B
lncRNA	LINC00111
protein_coding	TFF2
protein_coding	LGALS4
protein_coding	H2BC12L
protein_coding	KRTAP10-1
protein_coding	KRTAP10-2
protein_coding	KRTAP10-3
protein_coding	KRTAP10-5
protein_coding	KRTAP10-6
protein_coding	KRTAP10-7
protein_coding	KRTAP10-8
protein_coding	KRTAP10-10
protein_coding	KRTAP10-11
protein_coding	ECH1
protein_coding	KRTAP12-4
protein_coding	KRTAP12-3
protein_coding	KRTAP12-2
protein_coding	KRTAP12-1
lncRNA	LINC00165
lncRNA	FTCD-AS1
protein_coding	OLIG1
lncRNA	LINC01069
protein_coding	KRTAP8-1
protein_coding	KRTAP11-1
protein_coding	KRTAP19-8
protein_coding	ADAMTSL3
lncRNA	TIAM1-AS1
protein_coding	HNRNPL
protein_coding	MRNIP
protein_coding	SH3GL3
protein_coding	KRTAP10-9
protein_coding	KRTAP10-4
protein_coding	WDR73
protein_coding	KRTAP26-1
protein_coding	KRTAP27-1
protein_coding	KRTAP13-2
protein_coding	KRTAP13-1
protein_coding	KRTAP15-1
protein_coding	KRTAP19-1
protein_coding	NMB
protein_coding	KRTAP19-2
protein_coding	KRTAP19-3
protein_coding	KRTAP19-4
protein_coding	KRTAP19-5
protein_coding	RINL
protein_coding	KRTAP19-6
protein_coding	KRTAP19-7
protein_coding	KRTAP22-1
protein_coding	KRTAP20-1
protein_coding	KRTAP20-2
protein_coding	KRTAP21-3
protein_coding	KRTAP21-2
protein_coding	KRTAP21-1
protein_coding	KRTAP23-1
protein_coding	KRTAP13-3
protein_coding	SIRT2
miRNA	MIR99A
miRNA	MIRLET7C
lncRNA	MRNIP-DT
protein_coding	KRTAP13-4
protein_coding	TBC1D9B
protein_coding	KRTAP6-2
protein_coding	KRTAP6-1
lncRNA	LINC01075
lncRNA	DLEU2
protein_coding	SYT8
protein_coding	TNNI2
lncRNA	COL6A2-DT
protein_coding	LSP1
protein_coding	HNRNPH1
lncRNA	LINC02920
protein_coding	NFKBIB
protein_coding	RASA3
protein_coding	SARS2
protein_coding	KRTAP10-12
lncRNA	DSCR4
lncRNA	DSCR4-IT1
lncRNA	SOX1-OT
lncRNA	TRPM2-AS
lncRNA	LINC00404
protein_coding	MRPS12
protein_coding	FBXO17
protein_coding	TNNT3
protein_coding	CAPN12
lncRNA	LINC00415
protein_coding	LGALS7B
lncRNA	LINC01046
lncRNA	CYYR1-AS1
lncRNA	LINC01678
lncRNA	LINC00320
lncRNA	DNAJC3-DT
lncRNA	LINC00621
protein_coding	MRPL23
lncRNA	CKAP2-DT
lncRNA	MRPL23-AS1
lncRNA	LINC01219
lncRNA	H19
lncRNA	PRECSIT
miRNA	MIR675
lncRNA	MIR99AHG
protein_coding	OR4F4
lncRNA	FAM138E
transcribed_unprocessed_pseudogene	WASH3P
lncRNA	LINC00434
protein_coding	ZP2
lncRNA	LINC00448
lncRNA	LINC00572
lncRNA	GAS6-DT
protein_coding	TWIST2
protein_coding	ANKS4B
lncRNA	ARHGEF7-AS2
protein_coding	POLR3E
lncRNA	LINC01049
protein_coding	EEF2K
lncRNA	LINC00408
protein_coding	MOSMO
lncRNA	LINC00297
lncRNA	LINC00430
lncRNA	LINC00411
lncRNA	LINC01072
lncRNA	LINC00395
lncRNA	LINC00363
lncRNA	LINC00382
protein_coding	PFDN5
protein_coding	MYG1
protein_coding	AAAS
protein_coding	SP7
lncRNA	HTR2A-AS1
lncRNA	LINC01670
lncRNA	URB1-AS1
lncRNA	LINC02573
lncRNA	PDE9A-AS1
lncRNA	HLCS-AS1
lncRNA	LINC00205
lncRNA	LINC00316
lncRNA	LINC00380
protein_coding	OR10A3
protein_coding	OR5P2
protein_coding	OR5P3
protein_coding	OR10A6
protein_coding	NLRP10
protein_coding	MSRB1
protein_coding	RPL3L
protein_coding	NDUFB10
protein_coding	RPS2
lncRNA	SNHG9
protein_coding	TBL3
protein_coding	DLG5
protein_coding	NOXO1
protein_coding	GFER
protein_coding	SYNGR3
protein_coding	NPW
protein_coding	ZNF598
lncRNA	MCPH1-AS1
lncRNA	DSCAM-AS1
lncRNA	GS1-24F4.2
protein_coding	DEFA5
lncRNA	PCCA-DT
lncRNA	FAM167A-AS1
lncRNA	LINC01673
lncRNA	LINC03022
protein_coding	MSRA
protein_coding	CMC2
lncRNA	MIR124-1HG
protein_coding	CENPN
lncRNA	STARD13-AS
lncRNA	PPP1R3B-DT
protein_coding	ATMIN
protein_coding	GCSH
protein_coding	PKD1L2
lncRNA	FRGCA
lncRNA	LINC00681
protein_coding	XKR5
protein_coding	DEFA1B
protein_coding	DEFB107B
protein_coding	DEFB106B
protein_coding	DEFB104B
protein_coding	DEFB103B
protein_coding	DEFB4B
lncRNA	FAM66B
protein_coding	USP17L4
protein_coding	USP17L1
lncRNA	FAM66D
lncRNA	ENOX1-AS2
protein_coding	USP17L7
protein_coding	DEFB130B
protein_coding	DEFB134
protein_coding	DEFB135
protein_coding	DEFB136
protein_coding	CTSB
protein_coding	OOSP2
lncRNA	LINC00398
protein_coding	RPN2
protein_coding	GHRH
protein_coding	SRC
protein_coding	FDFT1
protein_coding	NEIL2
protein_coding	GATA4
protein_coding	PHLDA2
protein_coding	CARS1
lncRNA	LINC00208
protein_coding	BLK
lncRNA	LINC01690
protein_coding	MTMR9
lncRNA	LINC00529
protein_coding	XKR6
protein_coding	PINX1
lncRNA	LINC00423
protein_coding	PINX1
protein_coding	SOX7
protein_coding	RP1L1
lncRNA	LINC01034
protein_coding	PRSS55
protein_coding	TNKS
protein_coding	C1GALT1C1
protein_coding	PPP1R3B
protein_coding	ERI1
protein_coding	MFHAS1
lncRNA	LINC00462
protein_coding	CLDN23
lncRNA	LINC00313
protein_coding	GLUD2
lncRNA	LINC02949
protein_coding	PRAG1
lncRNA	PAN3-AS1
lncRNA	FAM85B
protein_coding	DEFB107A
protein_coding	DEFB105A
protein_coding	DEFB106A
protein_coding	DEFB104A
protein_coding	SPAG11A
protein_coding	DEFB103A
lncRNA	LINC00479
protein_coding	DEFB4A
protein_coding	KCNQ1
unprocessed_pseudogene	DEFB108A
lncRNA	FAM66E
lncRNA	KCNQ1-AS1
protein_coding	USP17L8
protein_coding	USP17L3
protein_coding	NAP1L4
protein_coding	FAM86B2
lncRNA	LINC01070
protein_coding	TRMT9B
protein_coding	DLC1
protein_coding	AGPAT5
lncRNA	LINC01038
protein_coding	DEFB1
lncRNA	TPT1-AS1
protein_coding	DEFA6
protein_coding	DEFA4
protein_coding	DEFA1
protein_coding	DEFA3
protein_coding	DEFB105B
protein_coding	SPAG11B
protein_coding	CDKN1C
lncRNA	TSPEAR-AS1
protein_coding	DEFB109B
protein_coding	FAM86B1
unprocessed_pseudogene	USP17L2
lncRNA	KCNQ1DN
lncRNA	LINC01548
lncRNA	LINC00421
protein_coding	TAS2R7
protein_coding	TAS2R8
protein_coding	TAS2R9
lncRNA	LINC00343
protein_coding	PRR4
protein_coding	ZYX
lncRNA	MIR210HG
protein_coding	RNH1
protein_coding	TAS2R10
protein_coding	TAS2R13
protein_coding	TAS2R14
protein_coding	TAS2R50
protein_coding	TAS2R20
protein_coding	TAS2R19
protein_coding	TAS2R31
protein_coding	TAS2R46
protein_coding	TAS2R43
protein_coding	TAS2R30
processed_pseudogene	SMIM10L1
protein_coding	EPHA1
lncRNA	LINC00310
protein_coding	AP2A2
protein_coding	DRD4
protein_coding	TAS2R60
protein_coding	DEAF1
protein_coding	TAS2R41
protein_coding	OR10AC1
protein_coding	CTAGE15
protein_coding	CTAGE6
protein_coding	IRF7
protein_coding	OR2F2
protein_coding	OR2F1
protein_coding	OR6B1
protein_coding	TCAF2
protein_coding	MUC6
lncRNA	AATBC
lncRNA	LINC02688
protein_coding	MUC2
lncRNA	LINC00543
protein_coding	HRAS
lncRNA	IL10RB-DT
lncRNA	LINC00358
lncRNA	MIR4500HG
lncRNA	LMNTD2-AS1
lncRNA	DSCR9
lncRNA	LINC00649
protein_coding	CDHR5
lncRNA	LINC00458
protein_coding	TAS2R20
lncRNA	SMIM10L1
protein_coding	TAS2R30
protein_coding	TAS2R50
protein_coding	TAS2R19
protein_coding	PRB3
protein_coding	TAS2R42
protein_coding	TAS2R9
protein_coding	FOXO6
protein_coding	TAS2R7
protein_coding	SCT
protein_coding	PRR4
protein_coding	PTDSS2
lncRNA	LINC00112
protein_coding	TAS2R31
protein_coding	TAS2R8
protein_coding	TAS2R13
protein_coding	TAS2R43
lncRNA	LINC01694
lncRNA	CPB2-AS1
protein_coding	TAS2R10
protein_coding	TAS2R14
protein_coding	TAS2R46
lncRNA	NDFIP2-AS1
lncRNA	LINC01928
lncRNA	RBM26-AS1
protein_coding	CTAGE1
lncRNA	L3MBTL4-AS1
protein_coding	MARCHF8
protein_coding	OR13A1
lncRNA	STK24-AS1
protein_coding	ALOX5
protein_coding	MC4R
processed_pseudogene	DHFRP1
lncRNA	DLEU1
protein_coding	CCDC92
lncRNA	LINC02825
protein_coding	SLC5A8
lncRNA	DNAH10OS
protein_coding	ANO4
lncRNA	PCOTH
lncRNA	NRAD1
lncRNA	LINC00390
lncRNA	PCDH9-AS2
lncRNA	ITGB2-AS1
protein_coding	ONECUT2
lncRNA	LINC01424
lncRNA	LINC01547
protein_coding	PIWIL1
miRNA	MIR320C1
lncRNA	B3GALT5-AS1
protein_coding	OR5P2
protein_coding	OR5P3
protein_coding	SERPINB11
protein_coding	OR10A6
protein_coding	OR10A3
protein_coding	NLRP10
protein_coding	GRK1
protein_coding	SERPINB12
protein_coding	ELOA2
lncRNA	RBFADN
lncRNA	LINC01904
protein_coding	CETN1
lncRNA	LINC01679
lncRNA	LINC00319
protein_coding	MC5R
protein_coding	KRTAP5-2
lncRNA	LINC02708
lncRNA	FAM99B
lncRNA	FAM99A
lncRNA	UBAC2-AS1
protein_coding	KRTAP5-3
protein_coding	KRTAP5-4
miRNA	MIR133A1
protein_coding	KRTAP5-1
protein_coding	KRTAP5-5
lncRNA	KRTAP5-AS1
protein_coding	DUSP8
protein_coding	TUBGCP3
lncRNA	LINC00323
lncRNA	LINC01070
lncRNA	LINC01043
lncRNA	PLAC4
protein_coding	SERPINB10
protein_coding	CHMP1B
lncRNA	CHMP1B-AS1
protein_coding	TUBB8B
lncRNA	LINC00384
lncRNA	LINC00385
lncRNA	LINC00426
lncRNA	LINC01058
lncRNA	FGF14-AS1
protein_coding	AP2A2
lncRNA	FGF14-AS2
lncRNA	LINC00555
protein_coding	METTL21EP
lncRNA	DLGAP1-AS2
protein_coding	MUC6
lncRNA	MIR17HG
IG_C_gene	IGHA2
IG_C_gene	IGHG3
IG_V_gene	IGHV3-11
miRNA	MIR17
miRNA	MIR18A
miRNA	MIR19A
miRNA	MIR20A
IG_C_gene	IGHE
miRNA	MIR19B1
miRNA	MIR92A1
IG_C_gene	IGHA1
lncRNA	SLC14A2-AS1
IG_V_gene	IGHV4-34
protein_coding	MLNR
lncRNA	TEX26-AS1
IG_V_gene	IGHV4-39
IG_C_gene	IGHG1
IG_V_gene	IGHV3-33
IG_V_gene	IGHV3-53
IG_C_gene	IGHG4
protein_coding	SLC25A52
protein_coding	KRTAP6-3
lncRNA	LINC01066
IG_V_gene	IGHV3-13
miRNA	MIR320C2
lncRNA	PARD6G-AS1
IG_V_gene	IGHV3-7
protein_coding	CATSPERB
protein_coding	KRTAP5-6
protein_coding	KRTAP5-1
protein_coding	KRTAP5-4
IG_V_gene	IGHV4-59
protein_coding	KRTAP5-5
IG_V_gene	IGHV2-70
lncRNA	FAM99A
lncRNA	LINC02708
lncRNA	KRTAP5-AS1
protein_coding	DUSP8
IG_V_gene	IGHV3-48
lncRNA	FAM99B
IG_V_gene	IGHV2-5
protein_coding	KRTAP5-3
protein_coding	KRTAP5-2
lncRNA	MIR155HG
lncRNA	LINC00362
miRNA	MIR155
lncRNA	BRWD1-AS1
IG_V_gene	IGHV3-30
IG_C_gene	IGHG2
lncRNA	PICSAR
IG_V_gene	IGHV1-69
lncRNA	GRTP1-AS1
IG_V_gene	IGHV1-46
IG_V_gene	IGHV3-23
IG_C_gene	IGHD
lncRNA	DSCR8
IG_C_gene	IGHM
lncRNA	MCM3AP-AS1
protein_coding	EDNRB
lncRNA	FAM30A
IG_V_gene	IGHV1-2
protein_coding	OR4M2B
lncRNA	LINC01882
lncRNA	LINC00160
lncRNA	LINC01443
lncRNA	LINC01444
unprocessed_pseudogene	GOLGA8DP
protein_coding	CYFIP1
protein_coding	ZIC2
protein_coding	TUBGCP5
protein_coding	ADARB1
protein_coding	CDK8
protein_coding	CHORDC1
protein_coding	TUBGCP5
transcribed_unprocessed_pseudogene	GOLGA8DP
lncRNA	MIR133A1HG
protein_coding	RB1
lncRNA	LINC00470
lncRNA	FAM138D
protein_coding	IQSEC3
protein_coding	GPR18
unprocessed_pseudogene	DDX11L8
protein_coding	SMAD9
lncRNA	IQSEC3-AS1
transcribed_unprocessed_pseudogene	GOLGA8IP
lncRNA	GOLGA8IP
lncRNA	KC6
protein_coding	GOLGA8G
protein_coding	TIAM1
protein_coding	RGCC
lncRNA	LINC01254
protein_coding	PROZ
protein_coding	APBA2
protein_coding	HERC2
protein_coding	ATP23
lncRNA	LINC02403
protein_coding	HERC2
lncRNA	GIHCG
lncRNA	TYMSOS
protein_coding	GOLGA8G
protein_coding	OCA2
protein_coding	SLC25A30
lncRNA	LINC01541
lncRNA	LINC01915
